[2026-08-18 19:14:43,812] INFO [django.utils.autoreload:667] Watching for file changes with StatReloader
[2026-08-18 19:14:49,004] INFO [django.utils.autoreload:265] /Users/galimanideepreddy/Documents/milk_delivery/milk_delivery_backend/milk_backend/urls.py changed, reloading.
[2026-08-18 19:14:49,195] INFO [django.utils.autoreload:667] Watching for file changes with StatReloader
[2026-08-18 19:14:53,378] INFO [django.utils.autoreload:265] /Users/galimanideepreddy/Documents/milk_delivery/milk_delivery_backend/milk_backend/urls.py changed, reloading.
[2026-08-18 19:14:53,578] INFO [django.utils.autoreload:667] Watching for file changes with StatReloader
[2026-08-18 19:17:14,686] INFO [django.server:212] "GET /api/health/ HTTP/1.1" 200 291
[2026-08-18 19:20:18,386] INFO [django.server:212] "POST /api/auth/token/ HTTP/1.1" 200 489
[2026-08-18 19:20:18,392] INFO [django.server:212] "GET /api/auth/me/ HTTP/1.1" 200 357
[2026-08-18 19:20:18,403] INFO [django.server:212] "GET /api/products/ HTTP/1.1" 200 9112
[2026-08-18 19:20:18,408] INFO [django.server:212] "GET /api/subscriptions/ HTTP/1.1" 200 2
[2026-08-18 19:20:18,417] INFO [django.server:212] "GET /api/deliveries/ HTTP/1.1" 200 2
[2026-08-18 19:20:18,420] INFO [django.server:212] "GET /api/wallet/transactions/ HTTP/1.1" 200 325
[2026-08-18 19:20:18,422] INFO [django.server:212] "GET /api/notifications/ HTTP/1.1" 200 262
[2026-08-18 20:04:04,657] WARNING [django.server:212] "GET /api/auth/me/ HTTP/1.1" 401 275
[2026-08-18 20:04:04,712] INFO [django.server:212] "GET /api/products/ HTTP/1.1" 200 9112
[2026-08-18 20:04:04,737] WARNING [django.server:212] "GET /api/subscriptions/ HTTP/1.1" 401 275
[2026-08-18 20:04:04,739] WARNING [django.server:212] "GET /api/deliveries/ HTTP/1.1" 401 275
[2026-08-18 20:04:04,741] WARNING [django.server:212] "GET /api/wallet/transactions/ HTTP/1.1" 401 275
[2026-08-18 20:04:04,742] WARNING [django.server:212] "GET /api/notifications/ HTTP/1.1" 401 275
[2026-08-18 20:05:23,463] WARNING [django.server:212] "GET /api/auth/me/ HTTP/1.1" 401 275
[2026-08-18 20:05:23,493] INFO [django.server:212] "GET /api/products/ HTTP/1.1" 200 9112
[2026-08-18 20:05:23,513] WARNING [django.server:212] "GET /api/subscriptions/ HTTP/1.1" 401 275
[2026-08-18 20:05:23,531] WARNING [django.server:212] "GET /api/deliveries/ HTTP/1.1" 401 275
[2026-08-18 20:05:23,533] WARNING [django.server:212] "GET /api/wallet/transactions/ HTTP/1.1" 401 275
[2026-08-18 20:05:23,535] WARNING [django.server:212] "GET /api/notifications/ HTTP/1.1" 401 275
[2026-08-18 20:08:41,512] WARNING [django.server:212] "GET /api/auth/me/ HTTP/1.1" 401 275
[2026-08-18 20:08:41,519] INFO [django.server:212] "GET /api/products/ HTTP/1.1" 200 9112
[2026-08-18 20:08:41,545] WARNING [django.server:212] "GET /api/subscriptions/ HTTP/1.1" 401 275
[2026-08-18 20:08:41,547] WARNING [django.server:212] "GET /api/deliveries/ HTTP/1.1" 401 275
[2026-08-18 20:08:41,571] WARNING [django.server:212] "GET /api/wallet/transactions/ HTTP/1.1" 401 275
[2026-08-18 20:08:41,574] WARNING [django.server:212] "GET /api/notifications/ HTTP/1.1" 401 275
[2026-08-18 20:10:07,041] WARNING [django.server:212] "GET /api/auth/me/ HTTP/1.1" 401 275
[2026-08-18 20:10:07,066] INFO [django.server:212] "GET /api/products/ HTTP/1.1" 200 9112
[2026-08-18 20:10:07,085] WARNING [django.server:212] "GET /api/subscriptions/ HTTP/1.1" 401 275
[2026-08-18 20:10:07,087] WARNING [django.server:212] "GET /api/deliveries/ HTTP/1.1" 401 275
